"y=0.5b: x/c-0.5b","y=0.5b: Position[Z] (m)"
0.33544541336755446,0.13052428651841522
0.2192004820089616,0.12483487972831409
0.2931068474765797,0.1281895334455696
0.19814760648080293,0.12411043455363927
0.25067813252744503,0.12616967270644147
0.17692950556883097,0.12347991660363927
0.15614276160473578,0.12300419889302833
0.13544357964108686,0.12268971543423116
0.05546045198164168,0.12260241044329764
0.06619799859312524,0.12251726347899353
0.0769115291600887,0.12246011699501846
0.09279160676097886,0.12244198576252519
0.11427267632547768,0.1225048505034825
0.04337440667820813,0.14095627044875864
0.03146926915013464,0.1384985877093179
0.03707336267648745,0.13970513099305737
0.019422480553540056,0.13562713104786436
0.0493060209529331,0.14208726817436657
0.05656550489186468,0.14338455773301179
0.025038903559135208,0.13703710097151467
0.004663112153863089,0.12477943684843276
0.003808214172593466,0.13028335690958276
0.009294640154555767,0.13255508646350822
0.014036248388066889,0.134111363499663
0.005777215308461286,0.12455811692415794
0.008645879824581044,0.12416557173675806
0.06860054050606573,0.14542682215691954
0.08110198406261011,0.1474113549098035
0.08803725951662042,0.14847295244706332
0.004162042098288177,0.12489942754117293
0.003256494164481026,0.12999485699596763
0.005631702545783169,0.1311158304442434
0.012532953393909205,0.12380560225217621
0.016939882311449928,0.12350891382656029
0.09348506474356368,0.14928766957660286
0.002811203234202183,0.12537225796553372
7.950056839719443E-4,0.12771513445503602
0.001614016957813952,0.12868822980360708
0.00258669162747764,0.1295748869041949
0.028261201603564014,0.12306465407131831
0.02516872790341957,0.12316403004973712
0.02130267286276106,0.12330545397958478
0.0193799113616741,0.12337625757021925
0.03120192082490848,0.12298872733951191
0.1014445825626418,0.15044574896022944
0.001153320034541056,0.12602445921515432
3.0329588764840853E-4,0.12705847221586788
0.0451638430582551,0.12272617454959209
0.03645079458227646,0.12287336987853029
0.1284754323874825,0.15417016911109344
0.1776417131082846,0.160399733580517
0.11324076788793923,0.15209320403465396
1.7968908030228708E-4,0.1264063555150734
0.0,0.126653163539242
0.14026381975197064,0.15572443497032942
0.15597333121226606,0.1577234198488361
0.19883225910172006,0.1629514639787757
0.23048155772486925,0.1665940514801901
0.377325236255696,0.13314046419798703
0.41940766936422125,0.13623864114247758
0.4615520758789653,0.13986417361619152
0.5039822872460363,0.1441177064734327
0.5457255379008289,0.14894519173055
0.5872520899542695,0.1543317535978403
0.6298513929790617,0.1604864079770187
0.6737367817013932,0.1671167944032188
0.7171196471325445,0.17365207300729452
0.7617530046757612,0.1800534508041034
0.8082717018043938,0.18613978620705546
0.8440372130864062,0.19027406987708778
0.8698166144713878,0.19281513050308627
0.8850973382885602,0.1942471135103898
0.8961619853530289,0.195206132140344
0.9167169029405233,0.1968554949396595
0.9396936913173238,0.19852539813092965
0.8416054690635172,0.20427141124158044
0.9003544330341907,0.20398316387243942
0.8199670268271765,0.20420889552083737
0.9604652553990579,0.1998752254306589
0.868564083621879,0.20417613381866345
0.7828815721835458,0.20389904247185187
0.9145564987939322,0.2038563089964392
0.9329280290229448,0.20366445274457
0.9424743951990766,0.2035622676601903
0.9653887955816518,0.2033129905468774
0.9783946582088331,0.20091358107157742
0.9925870528972065,0.2019853792100696
0.983861652557861,0.20310419968420707
0.9979970158971144,0.20255954998953973
0.9254228173997867,0.20374285768738407
0.7406088169385673,0.20318932760770653
0.6985199351774689,0.2020528372305655
0.9766965988622854,0.20318609673469748
0.9560854908623057,0.2034153380031261
0.9872015722113623,0.20142063687572176
0.9998405555941912,0.20276573673565806
0.9918372406089054,0.20301127754351467
0.27368903263861283,0.1713602125908753
0.6563628322154093,0.2005075502569073
1.0,0.20291589480401787
0.3161739222492198,0.17577486793771785
0.6142349252425326,0.19858886581624544
0.5612856568878982,0.19563284800122266
0.35847530079043965,0.17991516234659705
0.4013305109059024,0.18380871793373782
0.5824942131311419,0.19686680676470697
0.5292549718841282,0.1936245623411983
0.4438818945910536,0.18736209049573543
0.486448222419074,0.1906343804937214
